,city,idx,url
83,Calexico,291,http://aqicn.org/city/california/imperial/calexico-ethel-street/
84,Naval Test,292,http://aqicn.org/city/california/imperial/naval-test-base/
85,Sonny Bono,293,http://aqicn.org/city/california/imperial/sonny-bono/
86,Salton Sea,294,http://aqicn.org/city/california/riverside/salton-sea-park/
87,Torres ,295,http://aqicn.org/city/california/riverside/torres-martinez/
88,Chico ,296,http://aqicn.org/city/california/butte/chico-east-avenue/
89,Gridley,297,http://aqicn.org/city/california/butte/gridley/
90,Colusa,298,http://aqicn.org/city/california/colusa/colusa-sunrise-blvd/
91,Willows,299,http://aqicn.org/city/california/glenn/willows-colusa/
92,Roseville,300,http://aqicn.org/city/california/placer/roseville-n-sunrise-ave/
93,Elk Grove,301,http://aqicn.org/city/california/sacramento/elk-grove-bruceville-road/
94,Folsom,302,http://aqicn.org/city/california/sacramento/folsom-natoma-street/
95,Sacramento,303,http://aqicn.org/city/california/sacramento/sacramento-del-paso-manor/
96,Sacramento ,304,http://aqicn.org/city/california/sacramento/sacramento-1309-t-street/
97,Anderson,305,http://aqicn.org/city/california/shasta/anderson-north-street/
98,Vacaville,306,http://aqicn.org/city/california/solano/vacaville-ulatis-drive/
99,Yuba City,307,http://aqicn.org/city/california/sutter/yuba-city/
100,Davis,308,http://aqicn.org/city/california/yolo/davis-ucd-campus/
101,Woodland,309,http://aqicn.org/city/california/yolo/woodland-gibson-road/
102,Turlock,310,http://aqicn.org/city/california/stanislaus/turlock-s-minaret-street/
103,Sequoia National,9603,http://aqicn.org/city/california/tulare/sequoia-national-park-ash-mountain/
104,Anaheim,317,http://aqicn.org/city/california/orange/anaheim-loara-school/
105,Paradise ,324,http://aqicn.org/city/california/butte/paradise-theater/
106,Thousand Oaks,325,http://aqicn.org/city/california/ventura/thousand-oaks-moorpark-road/
107,Ukiah ,326,http://aqicn.org/city/california/mendocino/ukiah-library/
108,Salton City,327,http://aqicn.org/city/california/imperial/salton-city/
109,Hollister,328,http://aqicn.org/city/california/san-benito/hollister-fairview-road/
110,Niland,8863,http://aqicn.org/city/california/imperial/niland-english-road/
111,Sloughhouse,9604,http://aqicn.org/city/california/sacramento/sloughhouse/
112,Willits ,3327,http://aqicn.org/city/california/mendocino/willits-justice-center/
113,Salinas ,3328,http://aqicn.org/city/california/monterey/salinas--3/
114,Livermore ,3893,http://aqicn.org/city/california/alameda/livermore-rincon/
115,Oakland ,3894,http://aqicn.org/city/california/alameda/oakland-east/
116,Oakland ,3895,http://aqicn.org/city/california/alameda/oakland-west/
117,Concord,3896,http://aqicn.org/city/california/contra-costa/concord/
118,San Pablo,3897,http://aqicn.org/city/california/contra-costa/san-pablo-rumrill/
119,San Rafael,3898,http://aqicn.org/city/california/marin/san-rafael/
120,Napa,3899,http://aqicn.org/city/california/napa/napa-jefferson-avenue/
121,San Francisco,3900,http://aqicn.org/city/california/san-francisco/san-francisco-arkansas-street/
122,Redwood City,3901,http://aqicn.org/city/california/san-mateo/redwood-city/
123,San Jose,3902,http://aqicn.org/city/california/santa-clara/san-jose-jackson-st/
124,Vallejo,3903,http://aqicn.org/city/california/solano/vallejo/
125,Gilroy,3904,http://aqicn.org/city/california/santa-clara/gilroy-9th-street/
126,Madera City,4613,http://aqicn.org/city/california/madera/madera-city/
127,Portola ,5358,http://aqicn.org/city/california/plumas/portola-gulling-street/
128,Kernville,5359,http://aqicn.org/city/california/kern/kernville-forest-service/
129,Tahoe City,8350,http://aqicn.org/city/california/placer/tahoe-city-221-fairway-drive/
130,Auburn,5361,http://aqicn.org/city/california/placer/auburn-11645-atwood-road/
