,city,idx,url
0,Cal,5372,http://aqicn.org/city/macau/calcada-do-poco/
1,Taipa Grande,5373,http://aqicn.org/city/macau/taipa-grande/
2,Subesta,5374,http://aqicn.org/city/macau/subestacao-macau-norte/
3,Parque Central,5375,http://aqicn.org/city/macau/parque-central-da-taipa/
4,Coloane,9052,http://aqicn.org/city/macau/coloane/
5,K,9888,http://aqicn.org/city/macau/ka-ho/
